name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Fog Cloud,1,Conjuration,1 action,120 feet,V S,,1 hour,true,false,"You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around corners, and its area is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.","When you cast this spell using a spell slot of 2nd level or higher, the radius of the fog increases by 20 feet for each slot level above 1st.",OFFICIAL
Goodberry,1,Transmutation,1 action,Touch,V S M,a sprig of mistletoe,Instantaneous,false,false,"Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for one day.",,OFFICIAL
Grease,1,Conjuration,1 action,60 feet,V S M,a bit of pork rind or butter,1 minute,false,false,"Slick grease covers the ground in a 10-foot square centered on a point within range and turns it into difficult terrain for the duration. When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or fall prone.",,OFFICIAL
Guiding Bolt,1,Evocation,1 action,120 feet,V S,,1 round,false,false,"A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Hail of Thorns,1,Conjuration,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a ranged weapon attack before the spell ends, this spell creates a rain of thorns that sprouts from your ranged weapon or ammunition. In addition to the normal effect of the attack, the target of the attack and each creature within 5 feet of it must make a Dexterity saving throw. A creature takes 1d10 piercing damage on a failed save, or half as much damage on a successful one.","If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.",OFFICIAL
Healing Word,1,Evocation,1 bonus action,60 feet,V,,Instantaneous,false,false,"A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.","When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st.",OFFICIAL
Hellish Rebuke,1,Evocation,1 reaction,60 feet,V S,,Instantaneous,false,false,"You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a Dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.",OFFICIAL
Heroism,1,Enchantment,1 action,Touch,V S,,1 minute,true,false,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",OFFICIAL
Hex,1,Enchantment,1 bonus action,90 feet,V S M,the petrified eye of a newt,1 hour,true,false,"You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 necrotic damage to the target whenever you hit it with an attack. Also, choose one ability when you cast the spell. The target has disadvantage on ability checks made with the chosen ability.","When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours.",OFFICIAL
Hunter's Mark,1,Divination,1 bonus action,90 feet,V,,1 hour,true,false,"You choose a creature you can see within range and mystically mark it as your quarry. Until the spell ends, you deal an extra 1d6 damage to the target whenever you hit it with a weapon attack, and you have advantage on any Wisdom (Perception) or Wisdom (Survival) check you make to find it.","When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours.",OFFICIAL
Identify,1,Divination,1 minute,Touch,V S M,a pearl worth at least 100 gp and an owl feather,Instantaneous,false,true,"You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any.",,OFFICIAL
Illusory Script,1,Illusion,1 minute,Touch,S M,a lead-based ink worth at least 10 gp consumed,10 days,false,true,"You write on parchment, paper, or some other suitable writing material and imbue it with a potent illusion that lasts for the duration. To you and any creatures you designate when you cast the spell, the writing appears normal, written in your hand, and conveys whatever meaning you intended when you wrote the text.",,OFFICIAL
Inflict Wounds,1,Necromancy,1 action,Touch,V S,,Instantaneous,false,false,"Make a melee spell attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.",OFFICIAL
Jump,1,Transmutation,1 action,Touch,V S M,a grasshopper's hind leg,1 minute,false,false,"You touch a creature. The creature's jump distance is tripled until the spell ends.",,OFFICIAL
Longstrider,1,Transmutation,1 action,Touch,V S M,a pinch of dirt,1 hour,false,false,"You touch a creature. The target's speed increases by 10 feet until the spell ends.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",OFFICIAL
Mage Armor,1,Abjuration,1 action,Touch,V S M,a piece of cured leather,8 hours,false,false,"You touch a willing creature who isn't wearing armor, and a protective magical force surrounds it until the spell ends. The target's base AC becomes 13 + its Dexterity modifier. The spell ends if the target dons armor or if you dismiss the spell as an action.",,OFFICIAL
Magic Missile,1,Evocation,1 action,120 feet,V S,,Instantaneous,false,false,"You create three glowing darts of magical force. Each dart hits a creature of your choice that you can see within range. A dart deals 1d4 + 1 force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.","When you cast this spell using a spell slot of 2nd level or higher, the spell creates one more dart for each slot level above 1st.",OFFICIAL
Protection from Evil and Good,1,Abjuration,1 action,Touch,V S M,holy water or powdered silver and iron consumed,10 minutes,true,false,"Until the spell ends, one willing creature you touch is protected against certain types of creatures: aberrations, celestials, elementals, fey, fiends, and undead. The protection grants several benefits against these creature types.",,OFFICIAL
Purify Food and Drink,1,Transmutation,1 action,10 feet,V S,,Instantaneous,false,true,"All nonmagical food and drink within a 5-foot-radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.",,OFFICIAL
